a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
10,airdrop_juggernaut,KILLSTREAKS_AIRDROP_JUGGERNAUT,KILLSTREAKS_AIRDROP_JUGGERNAUT_DESC,11,unused,mp_killstreak_jugg_assault,achieve_juggernaut,juggernaut,juggernaut,1,airdrop_juggernaut_mp,200,icon_ks_jugg,icon_ks_jugg_hud,icon_ks_jugg_hud,icon_ks_jugg_hud,
11,heli_pilot,KILLSTREAKS_HELI_PILOT,KILLSTREAKS_HELI_PILOT_DESC,12,unused,mp_killstreak_helopilot,use_helipilot,helipilot,helipilot,1,killstreak_heli_pilot_mp,200,icon_ks_heli_pilot,icon_ks_heli_pilot_hud,icon_ks_heli_pilot_hud,icon_ks_heli_pilot_hud,
12,odin_assault,KILLSTREAKS_ODIN_ASSAULT,KILLSTREAKS_ODIN_ASSAULT_DESC,15,unused,mp_killstreak_loki,use_loki,loki,loki,1,killstreak_odin_assault_mp,200,icon_ks_odin,icon_ks_odin_hud,icon_ks_odin_hud,icon_ks_odin_hud,
13,uplink_support,KILLSTREAKS_UPLINK,KILLSTREAKS_UPLINK_DESC,4,unused,mp_killstreak_satcom_support,use_satcom,satcom,satcom,1,killstreak_uplink_support_mp,100,icon_ks_sat_com,icon_ks_sat_com_hud,icon_ks_sat_com_hud,icon_ks_sat_com_hud,
14,deployable_ammo,KILLSTREAKS_DEPLOYABLE_AMMO,KILLSTREAKS_DEPLOYABLE_AMMO_DESC,6,unused,mp_killstreak_box_guns,use_ammocrate,null,null,0,deployable_weapon_crate_marker_mp,150,icon_ks_box_of_guns,icon_ks_box_of_guns_hud,icon_ks_box_of_guns_hud,icon_ks_box_of_guns_hud,
15,deployable_vest,KILLSTREAKS_DEPLOYABLE_VEST,KILLSTREAKS_DEPLOYABLE_VEST_DESC,8,unused,mp_killstreak_ballistic_vest,achieve_vest,null,null,0,deployable_vest_marker_mp,100,icon_ks_ballistic_vest,icon_ks_ballistic_vest_hud,icon_ks_ballistic_vest_hud,icon_ks_ballistic_vest_hud,
16,aa_launcher,KILLSTREAKS_AA_LAUNCHER,KILLSTREAKS_AA_LAUNCHER_DESC,9,unused,mp_killstreak_maaws,achieve_maaws,null,null,0,iw6_maaws_mp,200,icon_ks_king_argument,icon_ks_king_argument_hud,icon_ks_king_argument_hud,icon_ks_king_argument_hud,
17,ball_drone_radar,KILLSTREAKS_BALL_DRONE_RADAR,KILLSTREAKS_BALL_DRONE_RADAR_DESC,10,unused,mp_killstreak_nightowl,achieve_nowl,null,null,0,killstreak_ball_drone_radar_mp,150,icon_ks_night_owl,icon_ks_night_owl_hud,icon_ks_night_owl_hud,icon_ks_night_owl_hud,
18,recon_agent,KILLSTREAKS_RECON_AGENT,KILLSTREAKS_RECON_AGENT_DESC,11,unused,mp_killstreak_squad_support,achieve_squad,null,null,0,killstreak_recon_agent,250,icon_ks_squad_support,icon_ks_squad_support_hud,icon_ks_squad_support_hud,icon_ks_squad_support_hud,
19,jammer,KILLSTREAKS_JAMMER,KILLSTREAKS_JAMMER_DESC,12,unused,mp_killstreak_ground_jammer,use_ground_jammer,ground_jammer,ground_jammer,1,killstreak_jammer_mp,200,icon_ks_ground_jammer,icon_ks_ground_jammer_hud,icon_ks_ground_jammer_hud,icon_ks_ground_jammer_hud,
20,air_superiority,KILLSTREAKS_AIR_SUPERIORITY,KILLSTREAKS_AIR_SUPERIORITY_DESC,12,unused,mp_killstreak_air_superiority,use_airsup,airsup,airsup,1,killstreak_air_superiority_mp,200,icon_ks_air_super,icon_ks_air_super_hud,icon_ks_air_super_hud,icon_ks_air_super_hud,
21,heli_sniper,KILLSTREAKS_HELI_SNIPER,KILLSTREAKS_HELI_SNIPER_DESC,13,unused,mp_killstreak_helo_scout,achieve_heli_sniper,heli_sniper,heli_sniper,1,killstreak_helicopter_sniper_mp,250,icon_ks_heli_sniper,icon_ks_heli_sniper_hud,icon_ks_heli_sniper_hud,icon_ks_heli_sniper_hud,
22,uav_3dping,KILLSTREAKS_UAV_3DPING,KILLSTREAKS_DESC_UAV_3DPING,14,unused,mp_killstreak_oracle,use_oracle,oracle,oracle,1,killstreak_uav_3dping_mp,250,icon_ks_skylark_uav,icon_ks_skylark_uav_hud,icon_ks_skylark_uav_hud,icon_ks_skylark_uav_hud,
23,airdrop_juggernaut_recon,KILLSTREAKS_AIRDROP_JUGGERNAUT_RECON,KILLSTREAKS_AIRDROP_JUGGERNAUT_RECON_DESC,14,unused,mp_killstreak_jugg_recon,achieve_juggernaut,juggernaut,juggernaut,1,airdrop_juggernaut_def_mp,250,icon_ks_jugg_recon,icon_ks_jugg_recon_hud,icon_ks_jugg_recon_hud,icon_ks_jugg_recon_hud,
24,odin_support,KILLSTREAKS_ODIN_SUPPORT,KILLSTREAKS_ODIN_SUPPORT_DESC,16,unused,mp_killstreak_odin,use_odin,odin,odin,1,killstreak_odin_support_mp,300,icon_ks_loki,icon_ks_loki_hud,icon_ks_loki_hud,icon_ks_loki_hud,
25,airdrop_assault,KILLSTREAKS_AIRDROP,KILLSTREAKS_AIRDROP_DESC,0,unused,mp_killstreak_carepackage,achieve_carepackage,carepackage,carepackage,1,airdrop_marker_assault_mp,100,dpad_killstreak_carepackage,specialty_null,dpad_killstreak_carepackage,dpad_killstreak_carepackage,
26,airdrop_support,KILLSTREAKS_AIRDROP,KILLSTREAKS_AIRDROP_DESC,0,unused,mp_killstreak_carepackage,achieve_carepackage,carepackage,carepackage,1,airdrop_marker_support_mp,100,dpad_killstreak_carepackage,specialty_null,dpad_killstreak_carepackage,dpad_killstreak_carepackage,
27,nuke,KILLSTREAKS_TACTICAL_NUKE,KILLSTREAKS_TACTICAL_NUKE_DESC,25,unused,mp_killstreak_kem,achieve_kem,kem,kem,1,killstreak_nuke_mp,100,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
28,specialty_fastsprintrecovery_ks,PERKS_STEADY_AIM_PRO,PERKS_DESC_WEAPON_READY_FASTER,0,unused,earn_perk,ReadyUp,null,null,0,killstreak_uav_mp,150,icon_perks_ready_up,icon_perks_ready_up,icon_perks_ready_up,icon_perks_ready_up,
29,specialty_fastreload_ks,PERKS_SLEIGHT_OF_HAND,PERKS_DESC_SLEIGHT_OF_HAND,0,unused,earn_perk,achieve_sleightofhand,null,null,0,killstreak_uav_mp,150,icon_perks_sleight_of_hand,icon_perks_sleight_of_hand,icon_perks_sleight_of_hand,icon_perks_sleight_of_hand,
30,specialty_lightweight_ks,PERKS_LIGHTWEIGHT,PERKS_DESC_LIGHTWEIGHT,0,unused,earn_perk,Agility,null,null,0,killstreak_uav_mp,150,icon_perks_agility,icon_perks_agility,icon_perks_agility,icon_perks_agility,
31,specialty_marathon_ks,PERKS_UNLIMITED_SPRINT,PERKS_DESC_UNLIMITED_SPRINT,0,unused,earn_perk,Marathon,null,null,0,killstreak_uav_mp,150,icon_perks_marathon,icon_perks_marathon,icon_perks_marathon,icon_perks_marathon,
32,specialty_stalker_ks,PERKS_STALKER,PERKS_DESC_STALKER,0,unused,earn_perk,achieve_stalker,null,null,0,killstreak_uav_mp,150,icon_perks_stalker,icon_perks_stalker,icon_perks_stalker,icon_perks_stalker,
33,specialty_reducedsway_ks,PERKS_REDUCEDSWAY,PERKS_DESC_REDUCEDSWAY,0,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_stability,icon_perks_stability,icon_perks_stability,icon_perks_stability,
34,specialty_quickswap_ks,PERKS_SLEIGHT_OF_HAND_PRO,PERKS_DESC_SWAP_WEAPONS_FASTER,0,unused,earn_perk,Reflex,null,null,0,killstreak_uav_mp,150,icon_perks_reflex,icon_perks_reflex,icon_perks_reflex,icon_perks_reflex,
35,specialty_pitcher_ks,PERKS_PITCHER,PERKS_DESC_PITCHER,0,unused,earn_perk,StrongArm,null,null,0,killstreak_uav_mp,150,icon_perks_strong_arm,icon_perks_strong_arm,icon_perks_strong_arm,icon_perks_strong_arm,
36,specialty_bulletaccuracy_ks,PERKS_STEADY_AIM,PERKS_DESC_STEADY_AIM,0,unused,earn_perk,achieve_steadyaim,null,null,0,killstreak_uav_mp,150,icon_perks_steady_aim,icon_perks_steady_aim,icon_perks_steady_aim,icon_perks_steady_aim,
37,specialty_quickdraw_ks,PERKS_QUICKDRAW,PERKS_DESC_QUICKDRAW,0,unused,earn_perk,achieve_quickdraw,null,null,0,killstreak_uav_mp,150,icon_perks_quickdraw,icon_perks_quickdraw,icon_perks_quickdraw,icon_perks_quickdraw,
38,specialty_sprintreload_ks,PERKS_SPRINTRELOAD,PERKS_DESC_SPRINTRELOAD,0,unused,earn_perk,Onthego,null,null,0,killstreak_uav_mp,150,icon_perks_on_the_go,icon_perks_on_the_go,icon_perks_on_the_go,icon_perks_on_the_go,
39,specialty_silentkill_ks,PERKS_SILENTKILL,PERKS_DESC_SILENTKILL,0,unused,earn_perk,Takedown,null,null,0,killstreak_uav_mp,150,icon_perks_takedown,icon_perks_takedown,icon_perks_takedown,icon_perks_takedown,
40,specialty_blindeye_ks,PERKS_BLINDEYE,PERKS_DESC_BLINDEYE,0,unused,earn_perk,achieve_blindeye,null,null,0,killstreak_uav_mp,150,icon_perks_blind_eye,icon_perks_blind_eye,icon_perks_blind_eye,icon_perks_blind_eye,
41,specialty_gpsjammer_ks,PERKS_GPSJAMMER,PERKS_DESC_GPSJAMMER,0,unused,earn_perk,Offthegrid,null,null,0,killstreak_uav_mp,150,icon_perks_assassin,icon_perks_assassin,icon_perks_assassin,icon_perks_assassin,
42,specialty_quieter_ks,PERKS_DEADSILENCE,PERKS_DESC_MOVE_QUIETLY,0,unused,earn_perk,achieve_deadsilence,null,null,0,killstreak_uav_mp,150,icon_perks_dead_silence,icon_perks_dead_silence,icon_perks_dead_silence,icon_perks_dead_silence,
43,specialty_incog_ks,PERKS_INCOG,PERKS_DESC_INCOG,0,unused,earn_perk,Incog,null,null,0,killstreak_uav_mp,150,icon_perks_incog,icon_perks_incog,icon_perks_incog,icon_perks_incog,
44,specialty_paint_ks,PERKS_PAINT,PERKS_DESC_PAINT,0,unused,earn_perk,achieve_recon,null,null,0,killstreak_uav_mp,150,icon_perks_recon,icon_perks_recon,icon_perks_recon,icon_perks_recon,
45,specialty_scavenger_ks,PERKS_SCAVENGER,PERKS_DESC_SCAVENGER,0,unused,earn_perk,achieve_scavenger,null,null,0,killstreak_uav_mp,150,icon_perks_scavenger,icon_perks_scavenger,icon_perks_scavenger,icon_perks_scavenger,
46,specialty_detectexplosive_ks,PERKS_BOMB_SQUAD,PERKS_DESC_BOMB_SQUAD,0,unused,earn_perk,achieve_sitrep,null,null,0,killstreak_uav_mp,150,icon_perks_sitrep,icon_perks_sitrep,icon_perks_sitrep,icon_perks_sitrep,
47,specialty_selectivehearing_ks,PERKS_BOMB_SQUAD_PRO,PERKS_DESC_SELECTIVE_HEARING,0,unused,earn_perk,Amplify,null,null,0,killstreak_uav_mp,150,icon_perks_amplifier,icon_perks_amplifier,icon_perks_amplifier,icon_perks_amplifier,
48,specialty_comexp_ks,PERKS_COMEXP,PERKS_DESC_COMEXP,0,unused,earn_perk,Wiretap,null,null,0,killstreak_uav_mp,150,icon_perks_com_link,icon_perks_com_link,icon_perks_com_link,icon_perks_com_link,
49,specialty_falldamage_ks,PERKS_DEADSILENCE_PRO,PERKS_DESC_NO_FALLING_DAMAGE,0,unused,earn_perk,Resiliance,null,null,0,killstreak_uav_mp,150,icon_perks_resiliance,icon_perks_resiliance,icon_perks_resiliance,icon_perks_resiliance,
50,specialty_regenfaster_ks,PERKS_FAST_REGEN,PERKS_DESC_FAST_REGEN,0,unused,earn_perk,ICU,null,null,0,killstreak_uav_mp,150,icon_perks_icu,icon_perks_icu,icon_perks_icu,icon_perks_icu,
51,specialty_sharp_focus_ks,PERKS_SHARPFOCUS,PERKS_DESC_SHARPFOCUS,0,unused,earn_perk,Focus,null,null,0,killstreak_uav_mp,150,icon_perks_focus,icon_perks_focus,icon_perks_focus,icon_perks_focus,
52,specialty_stun_resistance_ks,PERKS_BLASTSHIELD_PRO,PERKS_DESC_STUN_RESISTANCE,0,unused,earn_perk,TacResist,null,null,0,killstreak_uav_mp,150,icon_perks_tac_resist,icon_perks_tac_resist,icon_perks_tac_resist,icon_perks_tac_resist,
53,_specialty_blastshield_ks,PERKS_BLASTSHIELD,PERKS_DESC_BLASTSHIELD,0,unused,earn_perk,achieve_blastshield,null,null,0,killstreak_uav_mp,150,icon_perks_blast_shield,icon_perks_blast_shield,icon_perks_blast_shield,icon_perks_blast_shield,
54,specialty_gunsmith_ks,PERKS_GUNSMITH,PERKS_DESC_GUNSMITH,0,unused,earn_perk,GunSmith,null,null,0,killstreak_uav_mp,150,icon_perks_gunsmith,icon_perks_gunsmith,icon_perks_gunsmith,icon_perks_gunsmith,
55,specialty_extraammo_ks,PERKS_SCAVENGER_PRO,PERKS_UPGRADE_SCAVENGER,0,unused,earn_perk,FullyLoaded,null,null,0,killstreak_uav_mp,150,icon_perks_fully_loaded,icon_perks_fully_loaded,icon_perks_fully_loaded,icon_perks_fully_loaded,
56,specialty_extra_equipment_ks,PERKS_EXTRA_EQUIPMENT,PERKS_DESC_EXTRA_EQUIPMENT,0,unused,earn_perk,ExtraTactical,null,null,0,killstreak_uav_mp,150,icon_perks_extra_tactical,icon_perks_extra_tactical,icon_perks_extra_tactical,icon_perks_extra_tactical,
57,specialty_extra_deadly_ks,PERKS_EXTRA_DEADLY,PERKS_DESC_EXTRA_DEADLY,0,unused,earn_perk,ExtraLethal,null,null,0,killstreak_uav_mp,150,icon_perks_extra_lethal,icon_perks_extra_lethal,icon_perks_extra_lethal,icon_perks_extra_lethal,
58,specialty_extra_attachment_ks,PERKS_EXTRA_ATTACHMENT,PERKS_DESC_EXTRA_ATTACHMENT,0,unused,earn_perk,Extraattachment,null,null,0,killstreak_uav_mp,150,icon_perks_extra_attach,icon_perks_extra_attach,icon_perks_extra_attach,icon_perks_extra_attach,
59,specialty_explosivedamage_ks,PERKS_EXPLOSIVE_DAMAGE,PERKS_DESC_EXPLOSIVE_DAMAGE,0,unused,earn_perk,DangerClose,null,null,0,killstreak_uav_mp,150,icon_perks_danger_close,icon_perks_danger_close,icon_perks_danger_close,icon_perks_danger_close,
60,specialty_gambler_ks,PERKS_GAMBLER,PERKS_DESC_GAMBLER,0,unused,earn_perk,Gambler,null,null,0,killstreak_uav_mp,150,icon_perks_gambler,icon_perks_gambler,icon_perks_gambler,icon_perks_gambler,
61,specialty_hardline_ks,PERKS_HARDLINE,PERKS_DESC_HARDLINE,0,unused,earn_perk,achieve_hardline,null,null,0,killstreak_uav_mp,150,icon_perks_hardline,icon_perks_hardline,icon_perks_hardline,icon_perks_hardline,
62,specialty_twoprimaries_ks,PERKS_OVERKILL,PERKS_DESC_OVERKILL,0,unused,earn_perk,achieve_overkill,null,null,0,killstreak_uav_mp,150,icon_perks_overkill,icon_perks_overkill,icon_perks_overkill,icon_perks_overkill,
63,specialty_boom_ks,PERKS_BOOM,PERKS_DESC_BOOM,0,unused,earn_perk,Ping,null,null,0,killstreak_uav_mp,150,icon_perks_ping,icon_perks_ping,icon_perks_ping,icon_perks_ping,
64,specialty_deadeye_ks,PERKS_DEADEYE,PERKS_DESC_DEADEYE,0,unused,earn_perk,Deadeye,null,null,0,killstreak_uav_mp,150,icon_perks_deadeye,icon_perks_deadeye,icon_perks_deadeye,icon_perks_deadeye,
65,all_perks_bonus,PERKS_ALL,PERKS_DESC_ALL,0,unused,earn_superbonus,achieve_specialty_bonus,null,null,0,killstreak_uav_mp,150,specialty_perks_all,specialty_perks_all,specialty_perks_all,specialty_perks_all,
66,specialty_lightweight_sotf,PERKS_LIGHTWEIGHT,PERKS_DESC_LIGHTWEIGHT,2,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_agility,icon_perks_agility,icon_perks_agility,icon_perks_agility,
67,specialty_fastsprintrecovery_sotf,PERKS_STEADY_AIM_PRO,PERKS_STEADY_AIM_PRO,3,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_ready_up,icon_perks_ready_up,icon_perks_ready_up,icon_perks_ready_up,
68,specialty_stalker_sotf,PERKS_STALKER,PERKS_DESC_STALKER,4,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_stalker,icon_perks_stalker,icon_perks_stalker,icon_perks_stalker,
69,specialty_regenfaster_sotf,PERKS_FAST_REGEN,PERKS_DESC_FAST_REGEN,5,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_icu,icon_perks_icu,icon_perks_icu,icon_perks_icu,
70,specialty_quieter_sotf,PERKS_DEADSILENCE,PERKS_DEADSILENCE,6,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_dead_silence,icon_perks_dead_silence,icon_perks_dead_silence,icon_perks_dead_silence,
71,specialty_scavenger_sotf,PERKS_SCAVENGER,PERKS_SCAVENGER,6,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_scavenger,icon_perks_scavenger,icon_perks_scavenger,icon_perks_scavenger,
72,specialty_deadeye_sotf,PERKS_DEADEYE,PERKS_DEADEYE,6,unused,earn_perk,null,null,null,0,killstreak_uav_mp,150,icon_perks_deadeye,icon_perks_deadeye,icon_perks_deadeye,icon_perks_deadeye,
73,agent,KILLSTREAKS_AGENT,KILLSTREAKS_AGENT_DESC,7,unused,mp_killstreak_squad_member,achieve_squad,null,null,0,killstreak_agent_mp,100,icon_ks_squad_member,icon_ks_squad_member_hud,icon_ks_squad_member_hud,icon_ks_squad_member_hud,
74,warhawk_mortars,KILLSTREAKS_WARHAWK_MORTARS,KILLSTREAKS_WARHAWK_MORTARS_DESC,5,unused,earn_perk,null,whawk,whawk,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
75,snow_satellite,KILLSTREAKS_SNOW_SATELLITE,KILLSTREAKS_SNOW_SATELLITE_DESC,5,unused,earn_perk,null,snow,snow,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
76,hashima_missiles,KILLSTREAKS_HASHIMA_MISSILES,KILLSTREAKS_HASHIMA_MISSILES_DESC,5,unused,earn_perk,null,skel,skel,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
77,sovereign_gas,KILLSTREAKS_SOVEREIGN_GAS,KILLSTREAKS_SOVEREIGN_GAS_DESC,5,unused,earn_perk,null,sov,sov,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
78,strikezone_rog,KILLSTREAKS_STRIKEZONE_ROG,KILLSTREAKS_STRIKEZONE_ROG_DESC,5,unused,earn_perk,achieve_kem,kem,kem,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
79,juggernaut_swamp_slasher,MP_SWAMP_JUGGERNAUT_SWAMP_SLASHER,MP_SWAMP_JUGGERNAUT_SWAMP_SLASHER_DESC,5,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
80,f1_engine_fire,MP_BONEYARD_NS_F1_ENGINE_FIRE,MP_BONEYARD_NS_F1_ENGINE_FIRE_DESC,5,usused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
81,heli_gunner,MP_CA_KILLSTREAKS_HELI_GUNNER,MP_CA_KILLSTREAKS_HELI_GUNNER_DESC,0,unused,earn_perk,null,heli,heli,1,killstreak_level_event_mp,200,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
82,ca_a10_strafe,MP_CA_KILLSTREAKS_A10_STRAFE,MP_CA_KILLSTREAKS_A10_STRAFE_DESC,0,unused,earn_perk,null,a10,a10,1,killstreak_level_event_laptop_mp,200,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
83,dome_seekers,MP_DOME_NS_SEEKERS,MP_DOME_NS_SEEKERS_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,200,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
84,juggernaut_predator,MP_JUGG_PREDATOR_NAME,MP_JUGG_PREDATOR_NAME,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
85,volcano,MP_BATTERY3_VOLCANO,MP_BATTERY3_VOLCANO,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
86,venom_x_gun,ALIEN_WEAPON_DLC_ZEPOL2000,MP_DOME_NS_SEEKERS_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,200,icon_ks_scorpion_hud,icon_ks_scorpion_hud,icon_ks_scorpion_hud,icon_ks_scorpion_hud,
87,venom_x_projectile,ALIEN_WEAPON_DLC_ZEPOL2000,MP_DOME_NS_SEEKERS_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,200,icon_ks_scorpion_hud,icon_ks_scorpion_hud,icon_ks_scorpion_hud,icon_ks_scorpion_hud,
88,dig_level_killstreak,MP_DIG_LEVEL_KILLSTREAK_NAME,MP_DIG_LEVEL_KILLSTREAK_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
89,pirate_cannons,MP_PIRATE_CANNONS_NAME,MP_PIRATE_CANNONS_NAME,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
90,pirate_ghostcrew,MP_PIRATE_GHOSTCREW_NAME,MP_PIRATE_GHOSTCREW_NAME,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
91,ac130,MP_FAVELA_IW6_AC130,MP_FAVELA_IW6_AC130_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_laptop_mp,350,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
92,slot_machine,MP_DLC_13_KILLSTREAK,MP_DLC_13_KILLSTREAK_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,350,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
93,harrier_airstrike,MP_CONFLICT_HARRIER,MP_CONFLICT_HARRIER_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,200,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
94,juggernaut_death_mariachi,MP_ZULU_JUGGERNAUT_DEATH_MARIACHI,MP_ZULU_JUGGERNAUT_DEATH_MARIACHI,5,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
95,mine_level_killstreak,MP_MINE_LEVEL_KILLSTREAK_NAME,MP_MINE_LEVEL_KILLSTREAK_NAME,0,unused,earn_perk,null,null,null,1,killstreak_wolfpack_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
97,zerosub_level_killstreak,MP_ZEROSUB_LEVEL_KILLSTREAK_NAME,MP_ZEROSUB_LEVEL_KILLSTREAK_DESC,0,unused,earn_perk,null,null,null,1,killstreak_level_event_mp,150,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,icon_ks_level_hud,
98,iw6_minecart_mp,MP_MINE_CART_WEAPON,MP_MINE_CART_WEAPON,0,unused,earn_perk,null,null,null,1,iw6_minecart_mp,150,icon_weap_mine_cart,icon_weap_mine_cart,icon_weap_mine_cart,icon_weap_mine_cart,
