a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
71,3071,weapon_shotgun,WEAPON_SHOTGUN_DOUBLE_BARRELED,doublebarreledshotgun,,weapon_double_barreled_shotgun,PERKS_DOUBLE_BARRELED_SHOTGUN_DESC,grip sawoff,,PERKS_UNLOCKED_AT_LV29,none,grip,sawoff,,
72,3072,weapon_shotgun,,,,,,,,,,,,,
73,3073,weapon_shotgun,,,,,,,,,,,,,
74,3074,weapon_shotgun,,,,,,,,,,,,,
75,3075,weapon_shotgun,,,,,,,,,,,,,
76,3076,weapon_shotgun,,,,,,,,,,,,,
77,3077,weapon_shotgun,,,,,,,,,,,,,
78,3078,weapon_shotgun,,,,,,,,,,,,,
79,3079,weapon_shotgun,,,,,,,,,,,,,
80,3080,weapon_lmg,WEAPON_TYPE99_LMG,type99lmg,,weapon_type99_lmg,PERKS_TYPE99_LMG_DESC,bipod bayonet,,,none,bipod,bayonet,,
81,3081,weapon_lmg,WEAPON_FG42,fg42,,weapon_fg42,PERKS_FG42_DESC,bipod telescopic,,PERKS_UNLOCKED_AT_LV45,none,bipod,telescopic,,
82,3082,weapon_lmg,WEAPON_BAR,bar,,weapon_bar,PERKS_BAR_DESC,bipod,,PERKS_UNLOCKED_AT_LV4,none,bipod,comp,,
83,3083,weapon_lmg,WEAPON_DP28,dp28,,weapon_dp28,PERKS_DP28_DESC,bipod,,PERKS_UNLOCKED_AT_LV13,none,bipod,,,
84,3084,weapon_lmg,,,,,,,,,,,,,
85,3085,weapon_lmg,,,,,,,,,,,,,
86,3086,weapon_lmg,,,,,,,,,,,,,
87,3087,weapon_lmg,,,,,,,,,,,,,
88,3088,weapon_lmg,,,,,,,,,,,,,
89,3089,weapon_lmg,,,,,,,,,,,,,
90,3090,weapon_explosive,,,,,,,,,,,,,
91,3091,weapon_explosive,WEAPON_MINE_BETTY,mine_bouncing_betty,2,weapon_mine_betty,PERKS_DIRECTIONAL_ANTIPERSONNEL,,,PERKS_UNLOCKED_AT_LV24,,,,,
92,3092,weapon_explosive,WEAPON_SATCHEL_CHARGE,satchel_charge,2,weapon_satchel_charge,PERKS_REMOTE_DETONATION_EXPLOSIVE,,,,,,,,
93,3093,weapon_explosive,,,,,,,,,,,,,
94,3094,weapon_explosive,,,,,,,,,,,,,
95,3095,weapon_explosive,,,,,,,,,,,,,
96,3096,weapon_explosive,,,,,,,,,,,,,
97,3097,weapon_explosive,,,,,,,,,,,,,
98,3098,weapon_explosive,,,,,,,,,,,,,
99,3099,weapon_explosive,,,,,,,,,,,,,
100,3100,weapon_grenade,WEAPON_FRAGGRENADE,frag_grenade,1,weapon_fraggrenade,PERKS_ANTIPERSONNEL_DEVICE,,,,,,,,
101,3101,weapon_grenade,WEAPON_MOLOTOV,molotov,1,weapon_molotov,PERKS_DEVICE_THAT_BLINDS_AND,,,PERKS_UNLOCKED_AT_LV10,,,,,
102,3102,weapon_grenade,WEAPON_M8_WHITE_SMOKE,m8_white_smoke,1,weapon_m8_white_smoke,PERKS_DEVICE_THAT_CREATES_A,,,PERKS_SMOKE_SELECTION_WARNING,,,,,
103,3103,weapon_grenade,WEAPON_TABUN_GRENADE,tabun_gas,1,weapon_tabun_gas,PERKS_DEVICE_THAT_POISONS,,,,,,,,
104,3104,weapon_grenade,WEAPON_STICKY_GRENADE,sticky_grenade,1,weapon_sticky_grenade,PERKS_DEVICE_THAT_STICKS,,,,,,,,
105,3105,weapon_grenade,WEAPON_SIGNAL_FLARE,signal_flare,1,weapon_flare,PERKS_DEVICE_USED_TO_SIGNAL,,,,,,,,
106,3106,weapon_grenade,,,,,,,,,,,,,
107,3107,weapon_grenade,,,,,,,,,,,,,
108,3108,weapon_grenade,,,,,,,,,,,,,
109,3109,weapon_grenade,,,,,,,,,,,,,
110,3110,,,,,,,,,,,,,,
111,3111,,,,,,,,,,,,,,
112,3112,,,,,,,,,,,,,,
113,3113,,,,,,,,,,,,,,
114,3114,,,,,,,,,,,,,,
115,3115,,,,,,,,,,,,,,
116,3116,,,,,,,,,,,,,,
117,3117,,,,,,,,,,,,,,
118,3118,,,,,,,,,,,,,,
119,3119,,,,,,,,,,,,,,
120,3120,,,,,,,,,,,,,,
121,3121,,,,,,,,,,,,,,
122,3122,,,,,,,,,,,,,,
123,3123,,,,,,,,,,,,,,
124,3124,,,,,,,,,,,,,,
125,3125,,,,,,,,,,,,,,
126,3126,,,,,,,,,,,,,,
127,3127,,,,,,,,,,,,,,
128,3128,,,,,,,,,,,,,,
129,3129,,,,,,,,,,,,,,
130,3130,,,,,,,,,,,,,,
131,3131,,,,,,,,,,,,,,
132,3132,,,,,,,,,,,,,,
133,3133,,,,,,,,,,,,,,
134,3134,,,,,,,,,,,,,,
135,3135,,,,,,,,,,,,,,
136,3136,,,,,,,,,,,,,,
137,3137,,,,,,,,,,,,,,
138,3138,,,,,,,,,,,,,,
139,3139,,,,,,,,,,,,,,
140,3140,,,,,,,,,,,,,,
141,3141,,,,,,,,,,,,,,
142,3142,,,,,,,,,,,,,,
143,3143,,,,,,,,,,,,,,
144,3144,,,,,,,,,,,,,,
145,3145,,,,,,,,,,,,,,
146,3146,,,,,,,,,,,,,,
147,3147,,,,,,,,,,,,,,
148,3148,,,,,,,,,,,,,,
149,3149,,,,,,,,,,,,,,
a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,,,,,
150,150,specialty,PERKS_BOMB_SQUAD,specialty_detectexplosive,,specialty_detectexplosive,PERKS_ABILITY_TO_SEEK_OUT_ENEMY,perk1,,PERKS_UNLOCKED_AT_LV16,,,,,
151,151,specialty,PERKS_BANDOLIER,specialty_extraammo,,specialty_extraammo,PERKS_EXTRA_AMMUNITION_MAGAZINES,perk1,,PERKS_UNLOCKED_AT_LV40,,,,,
152,152,specialty,PERKS_UAV_JAMMER,specialty_gpsjammer,,specialty_gpsjammer,PERKS_UNDETECTABLE_ON_ENEMY,perk2,,PERKS_UNLOCKED_AT_LV12,,,,,
153,153,specialty,PERKS_SONIC_BOOM,specialty_explosivedamage,,specialty_explosivedamage,PERKS_HIGHER_EXPLOSIVE_WEAPON,perk2,,,,,,,
154,154,specialty,PERKS_FLAK_JACKET,specialty_flakjacket,,specialty_flakjacket,PERKS_LESS_DAMAGE_FROM_EXPLOSIVES,perk2,,,,,,,
155,155,specialty,PERKS_STOPPING_POWER,specialty_bulletdamage,,specialty_bulletdamage,PERKS_INCREASED_BULLET_DAMAGE,perk2,,,,,,,
156,156,specialty,PERKS_DOUBLE_TAP,specialty_rof,,specialty_rof,PERKS_INCREASED_RATE_OF_FIRE,perk2,,PERKS_UNLOCKED_AT_LV36,,,,,
157,157,specialty,PERKS_SLEIGHT_OF_HAND,specialty_fastreload,,specialty_fastreload,PERKS_FASTER_RELOADING,perk2,,PERKS_UNLOCKED_AT_LV28,,,,,
158,158,specialty,PERKS_OVERKILL,specialty_twoprimaries,,specialty_twoprimaries,PERKS_CARRY_TWO_PRIMARY_WEAPONS,perk2,,PERKS_UNLOCKED_AT_LV56,,,,,
159,159,specialty,PERKS_JUGGERNAUT,specialty_armorvest,,specialty_armorvest,PERKS_INCREASED_HEALTH,perk2,,PERKS_UNLOCKED_AT_LV4,,,,,
160,160,specialty,PERKS_TOSSBACK,specialty_pin_back,,specialty_pin_back,PERKS_TOSSBACK_DESC,perk3,,PERKS_UNLOCKED_AT_LV6,,,,,
161,161,specialty,PERKS_SHADES,specialty_shades,,specialty_shades,PERKS_EYE_SHIELD,perk2,,PERKS_UNLOCKED_AT_LV32,,,,,
162,162,specialty,PERKS_GASMASK,specialty_gas_mask,,specialty_gas_mask,PERKS_POISON_SHIELD,perk2,,,,,,,
163,163,specialty,PERKS_IRON_LUNGS,specialty_holdbreath,,specialty_holdbreath,PERKS_LONGER_BREATH_FOR_STEADIER,perk3,,PERKS_UNLOCKED_AT_LV60,,,,,
164,164,specialty,PERKS_DEAD_SILENCE,specialty_quieter,,specialty_quieter,PERKS_MAKE_LESS_SOUND_WHEN,perk3,,PERKS_UNLOCKED_AT_LV52,,,,,
165,165,specialty,PERKS_EXTREME_CONDITIONING,specialty_longersprint,,specialty_longersprint,PERKS_SPRINT_FOR_LONGER_DISTANCES,perk3,,,,,,,
166,166,specialty,PERKS_LAST_STAND,specialty_pistoldeath,,specialty_pistoldeath,PERKS_PULL_OUT_YOUR_PISTOL,perk3,,PERKS_UNLOCKED_AT_LV9,,,,,
167,167,specialty,PERKS_MARTYRDOM,specialty_grenadepulldeath,,specialty_grenadepulldeath,PERKS_DROP_A_LIVE_GRENADE_WHEN,perk3,,PERKS_UNLOCKED_AT_LV20,,,,,
168,168,specialty,PERKS_DEEP_IMPACT,specialty_bulletpenetration,,specialty_bulletpenetration,PERKS_DEEPER_BULLET_PENETRATION,perk3,,,,,,,
169,169,specialty,PERKS_STEADY_AIM,specialty_bulletaccuracy,,specialty_bulletaccuracy,PERKS_INCREASED_HIPFIRE_ACCURACY,perk3,,,,,,,
170,170,specialty,PERKS_FIREPROOF,specialty_fireproof,,specialty_fireproof,PERKS_FIREPROOF_DESC,perk3,,PERKS_UNLOCKED_AT_LV48,,,,,
171,171,specialty,PERKS_RECONNAISSANCE,specialty_reconnaissance,,specialty_reconnaissance,PERKS_RECONNAISSANCE_DESC,perk3,,PERKS_UNLOCKED_AT_LV64,,,,,
172,172,specialty,PERKS_GREASED_BEARINGS,specialty_greased_barrings,,specialty_greased_barrings,PERKS_TURRET_SPEED_INCREASE,perk4,,,,,,,
173,173,specialty,PERKS_WATER_COOLER,specialty_water_cooled,,specialty_water_cooled,PERKS_REDUCE_OVERHEAT,perk4,,,,,,,
174,174,specialty,PERKS_ORDINANCE,specialty_ordinance,,specialty_ordinance,PERKS_ORDINANCE_DESC,perk4,,PERKS_UNLOCKED_AT_LV12,,,,,
175,175,specialty,PERKS_LEADFOOT,specialty_leadfoot,,specialty_leadfoot,PERKS_LEADFOOT_DESCRIPTION,perk4,,PERKS_UNLOCKED_AT_LV28,,,,,
176,176,specialty,PERKS_BOOST,specialty_boost,,specialty_boost,PERKS_BOOST_DESCRIPTION,perk4,,PERKS_UNLOCKED_AT_LV40,,,,,
177,177,specialty,,,,,,,,,,,,,
178,178,specialty,,,,,,,,,,,,,
179,179,specialty,,,,,,,,,,,,,
180,180,grenade,PERKS_PRIMARY_GRENADES_X_2,specialty_fraggrenade,2,specialty_fraggrenade,PERKS_2_PRIMARY_GRENADES,perk1,,PERKS_UNLOCKED_AT_LV44,,,,,
181,181,grenade,,,,,,,,,,,,,
182,182,specialgrenade,PERKS_SPECIAL_GRENADES_X_3,specialty_specialgrenade,3,specialty_specialgrenade,PERKS_3_SPECIAL_GRENADES_NO,perk1,,PERKS_OPTION_NOT_AVAILABLE,,,,,
183,183,specialgrenade,,,,,,,,,,,,,
184,184,inventory,PERKS_SATCHEL_CHARGE_X_2,satchel_charge_mp,2,specialty_weapon_satchel_charge,PERKS_REMOTE_DETONATION_EXPLOSIVE,perk1,,,,,,,
185,185,inventory,PERKS_BETTY_X_2,mine_bouncing_betty_mp,2,specialty_weapon_bouncing_betty,PERKS_TRIP_ACTIVATED_EXPLOSIVE,perk1,,PERKS_UNLOCKED_AT_LV24,,,,,
186,186,inventory,PERKS_BAZOOKA_X_2,bazooka_mp,2,specialty_weapon_bazooka,PERKS_ROCKET_LAUNCHER_WITH,perk1,,,,,,,
187,187,inventory,PERKS_FLAMETHROWER,m2_flamethrower_mp,2,specialty_weapon_flamethrower,PERKS_FLAMETHROWER_DESC,perk1,,PERKS_UNLOCKED_AT_LV65,,,,,
188,188,inventory,,,,,,,,,,,,,
189,189,inventory,,,,,,,,,,,,,
190,190,null_specialty,PERKS_NONE,specialty_null,,specialty_null,,,,,,,,,
191,191,null_specialty,PERKS_GRENADE_LAUNCHER,specialty_null,,specialty_null,PERKS_GRENADE_LAUNCHER_ATTACHMENT1,,,,,,,,
192,192,null_specialty,PERKS_GRIP,specialty_null,,specialty_null,PERKS_GRIP_ATTACHMENT_,,,,,,,,
193,193,null_specialty,PERKS_ATTACHMENT,specialty_null,,specialty_null,PERKS_WEAPON_ATTACHMENT,,,,,,,,
194,194,,,,,,,,,,,,,,
195,257,feature,PERKS_CLOSEASSAULT,feature_closeassault,,,,,,,,,,,
196,258,feature,PERKS_SNIPER,feature_sniper,,,,,,,,,,,
197,260,feature,PERKS_CREATE_A_CLASS,feature_cac,,,,,,,,,,,
198,263,feature,PERKS_CHALLENGES,feature_challenges,,,,,,,,,,,
199,262,,,,,,,,,,,,,,
200,264,,,,,,,,,,,,,,
