a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
15,3,611,2611,1,0,3,ch_grenadekill_1,CHALLENGE_GRENADE_KILL_I,CHALLENGE_KILL_1_ENEMY_WITH_A_GRENADE,50,,,,a,1
16,,,2611,5,1,3,ch_grenadekill_2,CHALLENGE_GRENADE_KILL_II,CHALLENGE_KILL_5_ENEMIES_WITH_A,150,,,,,1
17,,,2611,10,5,3,ch_grenadekill_3,CHALLENGE_GRENADE_KILL_III,CHALLENGE_KILL_10_ENEMIES_WITH,250,,,,,1
18,5,612,2612,5,0,3,ch_assists_1,CHALLENGE_POINT_GUARD_I,CHALLENGE_GET_5_ASSISTS_PHASE_1,50,,,,a,1
19,,,2612,15,5,3,ch_assists_2,CHALLENGE_POINT_GUARD_II,CHALLENGE_GET_15_ASSISTS_PHASE,100,,,,,1
20,,,2612,30,15,3,ch_assists_3,CHALLENGE_POINT_GUARD_III,CHALLENGE_GET_30_ASSISTS_PHASE,250,,,,,1
21,6,613,2613,1,0,3,ch_xrayvision_1,CHALLENGE_XRAY_VISION_I,CHALLENGE_KILL_1_ENEMY_THROUGH,100,,,,a,1
22,,,2613,5,1,3,ch_xrayvision_2,CHALLENGE_XRAY_VISION_II,CHALLENGE_KILL_5_ENEMIES_THROUGH,250,,,,,1
23,,,2613,15,5,3,ch_xrayvision_3,CHALLENGE_XRAY_VISION_III,CHALLENGE_KILL_15_ENEMIES_THROUGH,250,,,,,1
24,7,614,2614,1,0,3,ch_vandalism_1,CHALLENGE_VANDALISM_I,CHALLENGE_BLOW_UP_1_CAR_PHASE_1,50,,,,a,1
25,,,2614,5,1,3,ch_vandalism_2,CHALLENGE_VANDALISM_II,CHALLENGE_BLOW_UP_5_CARS_PHASE,100,,,,,1
26,,,2614,15,5,3,ch_vandalism_3,CHALLENGE_VANDALISM_III,CHALLENGE_BLOW_UP_15_CARS_PHASE,250,,,,,1
27,10,615,2615,5,0,3,ch_exposed_1,CHALLENGE_EXPOSED_I,CHALLENGE_CALL_IN_A_UAV_5_TIMES,50,,,,a,1
28,,,2615,10,5,3,ch_exposed_2,CHALLENGE_EXPOSED_II,CHALLENGE_CALL_IN_A_UAV_10_TIMES,100,,,,,1
29,,,2615,20,10,3,ch_exposed_3,CHALLENGE_EXPOSED_III,CHALLENGE_CALL_IN_A_UAV_20_TIMES,250,,,,,1
30,8,616,2616,1,0,3,ch_backdraft_1,CHALLENGE_BACKDRAFT_I,CHALLENGE_DESTROY_1_ENEMY_EXPLOSIVE,50,,,,a,1
31,,,2616,5,1,3,ch_backdraft_2,CHALLENGE_BACKDRAFT_II,CHALLENGE_DESTROY_5_ENEMY_EXPLOSIVE,100,,,,,1
32,,,2616,15,5,3,ch_backdraft_3,CHALLENGE_BACKDRAFT_III,CHALLENGE_DESTROY_15_ENEMY_EXPLOSIVE,250,,,,,1
33,9,617,2617,1,0,3,ch_knifevet_1,CHALLENGE_KNIFE_VETERAN_I,CHALLENGE_KILL_1_ENEMY_WITH_THE,50,,,,a,1
34,,,2617,5,1,3,ch_knifevet_2,CHALLENGE_KNIFE_VETERAN_II,CHALLENGE_KILL_5_ENEMIES_WITH_THE,100,,,,,1
35,,,2617,15,5,3,ch_knifevet_3,CHALLENGE_KNIFE_VETERAN_III,CHALLENGE_KILL_15_ENEMIES_WITH,250,,,,,1
36,19,618,2618,1,0,3,ch_bartender_1,CHALLENGE_BAR_TENDER_I,CHALLENGE_KILL_1_ENEMY_WITH_A_MOLOTOV,50,,,,c,1
37,,,2618,5,1,3,ch_bartender_2,CHALLENGE_BAR_TENDER_II,CHALLENGE_KILL_5_ENEMIES_WITH_A_MOLOTOV,100,,,,,1
38,,,2618,15,5,3,ch_bartender_3,CHALLENGE_BAR_TENDER_III,CHALLENGE_KILL_15_ENEMIES_WITH_A_MOLOTOV,250,,,,,1
39,4,619,2619,1,0,3,ch_stickykill_1,CHALLENGE_STICKY_KILL_I,CHALLENGE_KILL_1_ENEMY_WITH_A_STICKY,50,,,,a,1
40,,,2619,5,1,3,ch_stickykill_2,CHALLENGE_STICKY_KILL_II,CHALLENGE_KILL_5_ENEMIES_WITH_A_STICKY,100,,,,,1
41,,,2619,15,5,3,ch_stickykill_3,CHALLENGE_STICKY_KILL_III,CHALLENGE_KILL_15_ENEMIES_WITH_A_STICKY,250,,,,,1
