a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
16,5,626,2626,5,0,3,ch_victor_sab_1,CHALLENGE_SABOTAGE_VICTOR_I,CHALLENGE_WIN_5_SABOTAGE_MATCHES,50,,,,a,1
17,,,2626,15,5,3,ch_victor_sab_2,CHALLENGE_SABOTAGE_VICTOR_II,CHALLENGE_WIN_15_SABOTAGE_MATCHES,100,,,,,1
18,,,2626,30,15,3,ch_victor_sab_3,CHALLENGE_SABOTAGE_VICTOR_III,CHALLENGE_WIN_30_SABOTAGE_MATCHES,250,,,,,1
19,6,627,2627,5,0,3,ch_victor_war_1,CHALLENGE_WAR_VICTOR_I,CHALLENGE_WIN_5_WAR_MATCHES,50,,,,a,1
20,,,2627,15,5,3,ch_victor_war_2,CHALLENGE_WAR_VICTOR_II,CHALLENGE_WIN_15_WAR_MATCHES,100,,,,,1
21,,,2627,30,15,3,ch_victor_war_3,CHALLENGE_WAR_VICTOR_III,CHALLENGE_WIN_30_WAR_MATCHES,250,,,,,1
22,4,628,2628,5,0,3,ch_victor_dom_1,CHALLENGE_DOMINATION_VICTOR_I,CHALLENGE_WIN_5_DOMINATION_MATCHES,50,,,,a,1
23,,,2628,15,5,3,ch_victor_dom_2,CHALLENGE_DOMINATION_VICTOR_II,CHALLENGE_WIN_15_DOMINATION_MATCHES,100,,,,,1
24,,,2628,30,15,3,ch_victor_dom_3,CHALLENGE_DOMINATION_VICTOR_III,CHALLENGE_WIN_30_DOMINATION_MATCHES,250,,,,,1
25,3,629,2629,5,0,3,ch_victor_hq_1,CHALLENGE_HEAD_QUATERS_VICTOR_I,CHALLENGE_WIN_5_HEAD_QUATERS_MATCHES,50,,,,a,1
26,,,2629,15,5,3,ch_victor_hq_2,CHALLENGE_HEAD_QUATERS_VICTOR_II,CHALLENGE_WIN_15_HEAD_QUATERS_MATCHES,100,,,,,1
27,,,2629,30,15,3,ch_victor_hq_3,CHALLENGE_HEAD_QUATERS_VICTOR_III,CHALLENGE_WIN_30_HEAD_QUATERS_MATCHES,250,,,,,1
28,11,630,2630,1,0,1,ch_mvp_thc,CHALLENGE_MVP_TEAM_HARDCORE,CHALLENGE_WIN_A_TEAM_HARDCORE_MATCH,250,,,,b,1
29,10,631,2631,1,0,1,ch_mvp_tdm,CHALLENGE_MVP_TEAM_DEATHMATCH,CHALLENGE_PLAY_TEAM_DEATHMATCH,250,,,,b,1
30,12,632,2632,1,0,1,ch_bombdown,CHALLENGE_BOMB_DOWN,CHALLENGE_KILL_THE_BOMB_CARRIER,250,,,,b,1
31,13,633,2633,1,0,1,ch_bombdefender,CHALLENGE_BOMB_DEFENDER,CHALLENGE_KILL_A_BOMB_DEFUSER_IN,250,,,,b,1
32,14,634,2634,1,0,1,ch_bombplanter,CHALLENGE_BOMB_PLANTER,CHALLENGE_KILL_A_BOMB_PLANTER_IN,250,,,,b,1
33,16,635,2635,1,0,1,ch_hero,CHALLENGE_HERO,CHALLENGE_DEFUSE_A_BOMB_IN_SABOTAGE,250,,,,c,1
34,15,636,2636,1,0,1,ch_lastmanstanding,CHALLENGE_LAST_MAN_STANDING,CHALLENGE_BE_THE_LAST_MAN_STANDING,250,,,,b,1
35,17,637,2637,1,0,1,ch_warhero,CHALLENGE_WAR_HERO,CHALLENGE_BE_A_WAR_HERO,250,,,,c,1
