a0,b1,c2,d3,e4,f5,g6,f7,g8,h9,i10,j11,k12,l13,m14,n15,o16,p17,q18,r19,s20,t21,u22,v23
31,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_33,,,,,,,,,,,,,,,,,,,,
32,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_34,,,,,,,,,,,,,,,,,,,,
33,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_35,,,,,,,,,,,,,,,,,,,,
34,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_36,,,,,,,,,,,,,,,,,,,,
35,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_37,,,,,,,,,,,,,,,,,,,,
36,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_39,,,,,,,,,,,,,,,,,,,,
37,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_40,,,,,,,,,,,,,,,,,,,,
0,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_01,,,,,,,,,,,,,,,,,,,,
2,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_02,,,,,,,,,,,,,,,,,,,,
3,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_03,,,,,,,,,,,,,,,,,,,,
4,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_04,,,,,,,,,,,,,,,,,,,,
5,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_05,,,,,,,,,,,,,,,,,,,,
6,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_06,,,,,,,,,,,,,,,,,,,,
7,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_07,,,,,,,,,,,,,,,,,,,,
8,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_08,,,,,,,,,,,,,,,,,,,,
9,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_09,,,,,,,,,,,,,,,,,,,,
10,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_10,,,,,,,,,,,,,,,,,,,,
11,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_11,,,,,,,,,,,,,,,,,,,,
12,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_12,,,,,,,,,,,,,,,,,,,,
13,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_13,,,,,,,,,,,,,,,,,,,,
14,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_14,,,,,,,,,,,,,,,,,,,,
15,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_15,,,,,,,,,,,,,,,,,,,,
16,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_16,,,,,,,,,,,,,,,,,,,,
17,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_17,,,,,,,,,,,,,,,,,,,,
18,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_18,,,,,,,,,,,,,,,,,,,,
19,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_19,,,,,,,,,,,,,,,,,,,,
20,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_20,,,,,,,,,,,,,,,,,,,,
21,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_21,,,,,,,,,,,,,,,,,,,,
22,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_22,,,,,,,,,,,,,,,,,,,,
23,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_23,,,,,,,,,,,,,,,,,,,,
24,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_37,,,,,,,,,,,,,,,,,,,,
25,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_26,,,,,,,,,,,,,,,,,,,,
26,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_27,,,,,,,,,,,,,,,,,,,,
27,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_28,,,,,,,,,,,,,,,,,,,,
28,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_29,,,,,,,,,,,,,,,,,,,,
29,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_30,,,,,,,,,,,,,,,,,,,,
30,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_31,,,,,,,,,,,,,,,,,,,,
31,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_32,,,,,,,,,,,,,,,,,,,,
32,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_33,,,,,,,,,,,,,,,,,,,,
33,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_34,,,,,,,,,,,,,,,,,,,,
34,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_35,,,,,,,,,,,,,,,,,,,,
35,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_36,,,,,,,,,,,,,,,,,,,,
36,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_38,,,,,,,,,,,,,,,,,,,,
37,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_39,,,,,,,,,,,,,,,,,,,,
0,reticle,combo_up,mc/mtl_t6_attach_optic_combo_reticle_up,,,,,,,,,,,,,,,,,,,,
1,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_01,,,,,,,,,,,,,,,,,,,,
2,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_02,,,,,,,,,,,,,,,,,,,,
3,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_03,,,,,,,,,,,,,,,,,,,,
4,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_04,,,,,,,,,,,,,,,,,,,,
5,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_05,,,,,,,,,,,,,,,,,,,,
6,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_06,,,,,,,,,,,,,,,,,,,,
7,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_07,,,,,,,,,,,,,,,,,,,,
8,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_08,,,,,,,,,,,,,,,,,,,,
9,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_11,,,,,,,,,,,,,,,,,,,,
10,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_10,,,,,,,,,,,,,,,,,,,,
11,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_12,,,,,,,,,,,,,,,,,,,,
12,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_13,,,,,,,,,,,,,,,,,,,,
13,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_14,,,,,,,,,,,,,,,,,,,,
14,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_15,,,,,,,,,,,,,,,,,,,,
15,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_16,,,,,,,,,,,,,,,,,,,,
16,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_17,,,,,,,,,,,,,,,,,,,,
17,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_18,,,,,,,,,,,,,,,,,,,,
18,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_19,,,,,,,,,,,,,,,,,,,,
19,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_20,,,,,,,,,,,,,,,,,,,,
20,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_21,,,,,,,,,,,,,,,,,,,,
21,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_22,,,,,,,,,,,,,,,,,,,,
22,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_23,,,,,,,,,,,,,,,,,,,,
23,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_24,,,,,,,,,,,,,,,,,,,,
24,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_38,,,,,,,,,,,,,,,,,,,,
25,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_27,,,,,,,,,,,,,,,,,,,,
26,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_28,,,,,,,,,,,,,,,,,,,,
27,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_29,,,,,,,,,,,,,,,,,,,,
28,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_30,,,,,,,,,,,,,,,,,,,,
29,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_31,,,,,,,,,,,,,,,,,,,,
30,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_32,,,,,,,,,,,,,,,,,,,,
31,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_33,,,,,,,,,,,,,,,,,,,,
32,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_34,,,,,,,,,,,,,,,,,,,,
33,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_35,,,,,,,,,,,,,,,,,,,,
34,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_36,,,,,,,,,,,,,,,,,,,,
35,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_37,,,,,,,,,,,,,,,,,,,,
36,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_39,,,,,,,,,,,,,,,,,,,,
37,reticle,combo_up,mc/mtl_t6_attach_optic_reflex_reticle_40,,,,,,,,,,,,,,,,,,,,
0,reticle,combo_down,mc/mtl_t6_attach_optic_combo_reticle_down,,,,,,,,,,,,,,,,,,,,
1,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_01,,,,,,,,,,,,,,,,,,,,
2,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_02,,,,,,,,,,,,,,,,,,,,
3,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_03,,,,,,,,,,,,,,,,,,,,
4,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_04,,,,,,,,,,,,,,,,,,,,
5,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_05,,,,,,,,,,,,,,,,,,,,
6,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_06,,,,,,,,,,,,,,,,,,,,
7,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_07,,,,,,,,,,,,,,,,,,,,
8,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_08,,,,,,,,,,,,,,,,,,,,
9,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_11,,,,,,,,,,,,,,,,,,,,
10,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_10,,,,,,,,,,,,,,,,,,,,
11,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_12,,,,,,,,,,,,,,,,,,,,
12,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_13,,,,,,,,,,,,,,,,,,,,
13,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_14,,,,,,,,,,,,,,,,,,,,
14,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_15,,,,,,,,,,,,,,,,,,,,
15,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_16,,,,,,,,,,,,,,,,,,,,
16,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_17,,,,,,,,,,,,,,,,,,,,
17,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_18,,,,,,,,,,,,,,,,,,,,
18,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_19,,,,,,,,,,,,,,,,,,,,
19,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_20,,,,,,,,,,,,,,,,,,,,
20,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_21,,,,,,,,,,,,,,,,,,,,
21,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_22,,,,,,,,,,,,,,,,,,,,
22,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_23,,,,,,,,,,,,,,,,,,,,
23,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_24,,,,,,,,,,,,,,,,,,,,
24,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_38,,,,,,,,,,,,,,,,,,,,
25,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_27,,,,,,,,,,,,,,,,,,,,
26,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_28,,,,,,,,,,,,,,,,,,,,
27,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_29,,,,,,,,,,,,,,,,,,,,
28,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_30,,,,,,,,,,,,,,,,,,,,
29,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_31,,,,,,,,,,,,,,,,,,,,
30,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_32,,,,,,,,,,,,,,,,,,,,
31,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_33,,,,,,,,,,,,,,,,,,,,
32,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_34,,,,,,,,,,,,,,,,,,,,
33,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_35,,,,,,,,,,,,,,,,,,,,
34,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_36,,,,,,,,,,,,,,,,,,,,
35,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_37,,,,,,,,,,,,,,,,,,,,
36,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_39,,,,,,,,,,,,,,,,,,,,
37,reticle,combo_down,mc/mtl_t6_attach_optic_acog_reticle_40,,,,,,,,,,,,,,,,,,,,
1,camo,camo_multicam,0,1,,,,,,,,,,,,,,,,,,,
2,camo,camo_atacs,0,2,,,,,,,,,,,,,,,,,,,
3,camo,camo_erdl,0,3,,,,,,,,,,,,,,,,,,,
4,camo,camo_siberia,0,4,,,,,,,,,,,,,,,,,,,
5,camo,camo_choco,0,5,,,,,,,,,,,,,,,,,,,
6,camo,camo_tiger_blue,0,6,,,,,,,,,,,,,,,,,,,
7,camo,camo_matuka,0,7,,,,,,,,,,,,,,,,,,,
8,camo,camo_ghostex,0,8,,,,,,,,,,,,,,,,,,,
9,camo,camo_kryptek,0,9,,,,,,,,,,,,,,,,,,,
10,camo,camo_carbon,1,2,,,,,,,,,,,,,,,,,,,
11,camo,camo_blossom,0,10,,,,,,,,,,,,,,,,,,,
12,camo,camo_artofwar,0,11,,,,,,,,,,,,,,,,,,,
13,camo,camo_ronin,0,12,,,,,,,,,,,,,,,,,,,
14,camo,camo_skulls,0,13,,,,,,,,,,,,,,,,,,,
15,camo,camo_gold,1,1,,,,,,,,,,,,,,,,,,,
16,camo,camo_diamond,1,3,,,,,,,,,,,,,,,,,,,
17,camo,camo_elite1,0,15,,,,,,,,,,,,,,,,,,,
18,camo,camo_collectors,0,14,,,,,,,,,,,,,,,,,,,
19,camo,camo_mango,0,17,,,,,,,,,,,,,,,,,,,
20,camo,camo_ukpunk,0,18,,,,,,,,,,,,,,,,,,,
21,camo,camo_benjamins,0,19,,,,,,,,,,,,,,,,,,,
22,camo,camo_muertos,1,8,,,,,,,,,,,,,,,,,,,
23,camo,camo_graffiti,0,21,,,,,,,,,,,,,,,,,,,
24,camo,camo_kawaii,0,22,,,,,,,,,,,,,,,,,,,
25,camo,camo_partyrock,0,23,,,,,,,,,,,,,,,,,,,
26,camo,camo_zombies,0,24,,,,,,,,,,,,,,,,,,,
27,camo,camo_viper,0,16,,,,,,,,,,,,,,,,,,,
28,camo,camo_bacon,1,6,,,,,,,,,,,,,,,,,,,
29,camo,camo_ghost,1,5,,,,,,,,,,,,,,,,,,,
30,camo,camo_paladin,1,7,,,,,,,,,,,,,,,,,,,
31,camo,camo_cybertron,1,10,,,,,,,,,,,,,,,,,,,
32,camo,camo_dragon,1,12,,,,,,,,,,,,,,,,,,,
33,camo,camo_comics,0,31,,,,,,,,,,,,,,,,,,,
34,camo,camo_aqua,0,32,,,,,,,,,,,,,,,,,,,
35,camo,camo_breach,0,33,,,,,,,,,,,,,,,,,,,
36,camo,camo_coyote,0,34,,,,,,,,,,,,,,,,,,,
37,camo,camo_zulu,0,35,,,,,,,,,,,,,,,,,,,
38,camo,camo_massacre2,0,36,,,,,,,,,,,,,,,,,,,
39,camo,camo_etching,1,11,,,,,,,,,,,,,,,,,,,
40,camo,camo_wanted,0,39,,,,,,,,,,,,,,,,,,,
41,camo,camo_jungletiger,0,38,,,,,,,,,,,,,,,,,,,
42,camo,camo_octane,0,37,,,,,,,,,,,,,,,,,,,
43,camo,camo_toxic,1,14,,,,,,,,,,,,,,,,,,,
44,camo,camo_mystic,1,15,,,,,,,,,,,,,,,,,,,
45,camo,camo_roxann,0,40,,,,,,,,,,,,,,,,,,,
