a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
mp_raid,fbi,pmc,MPUI_RAID,menu_mp_raid_map_select_final,9,MPUI_DESC_MAP_RAID,compass_overlay_map_raid,MEDIUM,NO,YES,0,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_slums,isa,pmc,MPUI_SLUMS,menu_mp_slums_map_select_final,10,MPUI_DESC_MAP_SLUMS,compass_overlay_map_standoff,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_village,seals,pmc,MPUI_VILLAGE,menu_mp_village_map_select_final,11,MPUI_DESC_MAP_VILLAGE,compass_overlay_map_village,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_turbine,seals,cd,MPUI_TURBINE,menu_mp_turbine_map_select_final,12,MPUI_DESC_MAP_TURBINE,compass_overlay_map_turbine,LARGE,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_socotra,isa,cd,MPUI_SOCOTRA,menu_mp_socotra_map_select_final,13,MPUI_DESC_MAP_SOCOTRA,compass_overlay_map_socotra,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_nuketown_2020,seals,pmc,MPUI_NUKETOWN2025,menu_mp_nuketown2025_map_select_final,14,MPUI_DESC_MAP_NUKETOWN2025,compass_overlay_map_nuketown2025,SMALL,NO,YES,1,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_downhill,seals,pmc,MPUI_DOWNHILL,menu_mp_downhill_map_select_final,15,MPUI_DESC_MAP_DOWNHILL,compass_overlay_map_downhill,MEDIUM,NO,YES,3,MPUI_SEALS_SHORT,MPUI_SDC_SHORT,faction_seals,faction_pmc,snow
mp_mirage,seals,pla,MPUI_MIRAGE,menu_mp_mirage_map_select_final,16,MPUI_DESC_MAP_MIRAGE,compass_overlay_map_mirage,MEDIUM,NO,YES,3,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_hydro,isa,cd,MPUI_HYDRO,menu_mp_hydro_map_select_final,17,MPUI_DESC_MAP_HYDRO,compass_overlay_map_hydro,MEDIUM,NO,YES,3,MPUI_ISA_SHORT,MPUI_CD_SHORT,faction_isa,faction_cd,
mp_skate,fbi,pmc,MPUI_SKATE,menu_mp_skate_map_select_final,18,MPUI_DESC_MAP_SKATE,compass_overlay_map_skate,MEDIUM,NO,YES,3,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_concert,seals,pmc,MPUI_CONCERT,menu_mp_concert_map_select_final,19,MPUI_DESC_MAP_CONCERT,compass_overlay_map_concert,MEDIUM,NO,YES,4,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_magma,seals,pla,MPUI_MAGMA,menu_mp_magma_map_select_final,20,MPUI_DESC_MAP_MAGMA,compass_overlay_map_magma,LARGE,NO,YES,4,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_vertigo,isa,cd,MPUI_VERTIGO,menu_mp_vertigo_map_select_final,21,MPUI_DESC_MAP_VERTIGO,compass_overlay_map_vertigo,MEDIUM,NO,YES,4,MPUI_ISA_SHORT,MPUI_CD_SHORT,faction_isa,faction_cd,
mp_studio,fbi,pmc,MPUI_STUDIO,menu_mp_studio_map_select_final,22,MPUI_DESC_MAP_STUDIO,compass_overlay_map_studio,SMALL,NO,YES,4,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_uplink,seals,pla,MPUI_UPLINK,menu_mp_uplink_map_select_final,23,MPUI_DESC_MAP_UPLINK,compass_overlay_map_uplink,MEDIUM,NO,YES,5,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,wet
mp_bridge,fbi,pmc,MPUI_BRIDGE,menu_mp_bridge_map_select_final,24,MPUI_DESC_MAP_BRIDGE,compass_overlay_map_bridge,MEDIUM,NO,YES,5,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_castaway,isa,cd,MPUI_CASTAWAY,menu_mp_castaway_map_select_final,25,MPUI_DESC_MAP_CASTAWAY,compass_overlay_map_castaway,SMALL,NO,YES,5,MPUI_ISA_SHORT,MPUI_CD_SHORT,faction_isa,faction_cd,sand
mp_paintball,fbi,pmc,MPUI_PAINTBALL,menu_mp_paintball_map_select_final,26,MPUI_DESC_MAP_PAINTBALL,compass_overlay_map_paintball,SMALL,NO,YES,5,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_dig,isa,cd,MPUI_DIG,menu_mp_dig_map_select_final,27,MPUI_DESC_MAP_DIG,compass_overlay_map_dig,SMALL,NO,YES,6,MPUI_ISA_SHORT,MPUI_CD_SHORT,faction_isa,faction_cd,
mp_frostbite,seals,pmc,MPUI_FROSTBITE,menu_mp_frostbite_map_select_final,28,MPUI_DESC_MAP_FROSTBITE,compass_overlay_map_frostbite,MEDIUM,NO,YES,6,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,snow
mp_pod,seals,pla,MPUI_POD,menu_mp_pod_map_select_final,29,MPUI_DESC_MAP_POD,compass_overlay_map_pod,LARGE,NO,YES,6,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_takeoff,fbi,pmc,MPUI_TAKEOFF,menu_mp_takeoff_map_select_final,30,MPUI_DESC_MAP_TAKEOFF,compass_overlay_map_takeoff,MEDIUM,NO,YES,6,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
default,seals,pmc,,,,,,,,,,,,,,
