a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22
780,0,10,gamemode,DESTRUCTIONS,CHALLENGE_DESTRUCTIONS,500,,,,,11,,dem sd,,,,,,,,,
781,1,25,gamemode,DESTRUCTIONS,CHALLENGE_DESTRUCTIONS,2500,,,,,11,,dem sd,,,,,,,,,
782,2,50,gamemode,DESTRUCTIONS,CHALLENGE_DESTRUCTIONS,5000,,,,challenges,11,EM_BACK_CH_782_,dem sd,,,,,,,,,
783,0,20,gamemode,CAPTURES,CHALLENGE_CAPTURES,500,,,,,11,,ctf dom hq,,,,,,,,,
784,1,50,gamemode,CAPTURES,CHALLENGE_CAPTURES,2500,,,,,11,,ctf dom hq,,,,,,,,,
785,2,100,gamemode,CAPTURES,CHALLENGE_CAPTURES,5000,,,,challenges,11,EM_BACK_CH_785_,ctf dom hq,,,,,,,,,
786,0,25,gamemode,RETURNS,CHALLENGE_RETURNS,250,,,,,11,,ctf,,,,,,,,,
787,1,50,gamemode,RETURNS,CHALLENGE_RETURNS,500,,,,,11,,ctf,,,,,,,,,
788,2,100,gamemode,RETURNS,CHALLENGE_RETURNS,2500,,,,challenges,11,EM_BACK_CH_788_,ctf,,,,,,,,,
789,0,50,gamemode,OFFENDS,CHALLENGE_OFFENDS,500,,,,,11,,dem dom hq ctf,,,,,,,,,
790,1,100,gamemode,OFFENDS,CHALLENGE_OFFENDS,2500,,,,,11,,dem dom hq ctf,,,,,,,,,
791,2,200,gamemode,OFFENDS,CHALLENGE_OFFENDS,5000,,,,challenges,11,EM_BACK_CH_791_,dem dom hq ctf,,,,,,,,,
792,0,50,gamemode,DEFENDS,CHALLENGE_DEFENDS,500,,,,,11,,dem dom hq ctf,,,,,,,,,
793,1,100,gamemode,DEFENDS,CHALLENGE_DEFENDS,2500,,,,,11,,dem dom hq ctf,,,,,,,,,
794,2,200,gamemode,DEFENDS,CHALLENGE_DEFENDS,5000,,,,challenges,11,EM_BACK_CH_794_,dem dom hq ctf,,,,,,,,,
795,0,10,gamemode,DEFUSES,CHALLENGE_DEFUSES,500,,,,,11,,dem sd,,,,,,,,,
796,1,25,gamemode,DEFUSES,CHALLENGE_DEFUSES,2500,,,,,11,,dem sd,,,,,,,,,
797,2,50,gamemode,DEFUSES,CHALLENGE_DEFUSES,5000,,,,challenges,11,EM_BACK_CH_797_,dem sd,,,,,,,,,
801,0,25,global,kill_while_uav_active,CHALLENGE_ACTIONABLE_INTEL,500,,,,,8,,,,,,,,,,,
802,1,50,global,kill_while_uav_active,CHALLENGE_ACTIONABLE_INTEL,1000,,,,,8,,,,,,,,,,,
803,2,100,global,kill_while_uav_active,CHALLENGE_ACTIONABLE_INTEL,2500,,,,,8,EM_BACK_CH_803,,,,SUPPORT,,,,,,
804,0,25,global,kill_while_damaging_with_microwave_turret,CHALLENGE_BAKED_TO_PERFECTION,500,,,,,8,,,,,,,,,,,
805,1,50,global,kill_while_damaging_with_microwave_turret,CHALLENGE_BAKED_TO_PERFECTION,1000,,,,,8,,,,,,,,,,,
806,2,100,global,kill_while_damaging_with_microwave_turret,CHALLENGE_BAKED_TO_PERFECTION,2500,,,,,8,EM_BACK_CH_806,,,,SUPPORT,,,,,,
807,0,25,global,kill_while_cuav_active,CHALLENGE_COUNTER_INTELLIGENCE,500,,,,,8,,,,,,,,,,,
808,1,50,global,kill_while_cuav_active,CHALLENGE_COUNTER_INTELLIGENCE,1000,,,,,8,,,,,,,,,,,
809,2,100,global,kill_while_cuav_active,CHALLENGE_COUNTER_INTELLIGENCE,2500,,,,,8,EM_BACK_CH_809,,,,SUPPORT,,,,,,
810,0,25,global,kill_while_satellite_active,CHALLENGE_EYES_IN_THE_SKY,500,,,,,8,,,,,,,,,,,
811,1,50,global,kill_while_satellite_active,CHALLENGE_EYES_IN_THE_SKY,1000,,,,,8,,,,,,,,,,,
812,2,100,global,kill_while_satellite_active,CHALLENGE_EYES_IN_THE_SKY,2500,,,,,8,EM_BACK_CH_812,,,,SUPPORT,,,,,,
813,0,25,global,kill_while_emp_active,CHALLENGE_DOWN_AND_OUT,500,,,,,8,,,,,,,,,,,
814,1,50,global,kill_while_emp_active,CHALLENGE_DOWN_AND_OUT,1000,,,,,8,,,,,,,,,,,
815,2,100,global,kill_while_emp_active,CHALLENGE_DOWN_AND_OUT,2500,,,,,8,EM_BACK_CH_815,,,,SUPPORT,,,,,,
816,0,1000,global,assist_score_uav,CHALLENGE_UAV_SUPPORT,500,,,,,8,,,,,,,,,,,
817,1,1500,global,assist_score_uav,CHALLENGE_UAV_SUPPORT,1000,,,,,8,,,,,,,,,,,
818,2,2500,global,assist_score_uav,CHALLENGE_UAV_SUPPORT,1500,,,,,8,,,,,,,,,,,
819,3,5000,global,assist_score_uav,CHALLENGE_UAV_SUPPORT,2500,,,,,8,EM_BACK_CH_819,,,,SUPPORT,,,,,,
820,0,100,global,assist_score_microwave_turret,CHALLENGE_HPM_SUPPORT,500,,,,,8,,,,,,,,,,,
821,1,200,global,assist_score_microwave_turret,CHALLENGE_HPM_SUPPORT,1000,,,,,8,,,,,,,,,,,
822,2,350,global,assist_score_microwave_turret,CHALLENGE_HPM_SUPPORT,1500,,,,,8,,,,,,,,,,,
823,3,500,global,assist_score_microwave_turret,CHALLENGE_HPM_SUPPORT,2500,,,,,8,EM_BACK_CH_823,,,,SUPPORT,,,,,,
824,0,1000,global,assist_score_cuav,CHALLENGE_COUNTER_UAV_SUPPORT,500,,,,,8,,,,,,,,,,,
825,1,1500,global,assist_score_cuav,CHALLENGE_COUNTER_UAV_SUPPORT,1000,,,,,8,,,,,,,,,,,
826,2,2500,global,assist_score_cuav,CHALLENGE_COUNTER_UAV_SUPPORT,1500,,,,,8,,,,,,,,,,,
827,3,5000,global,assist_score_cuav,CHALLENGE_COUNTER_UAV_SUPPORT,2500,,,,,8,EM_BACK_CH_827,,,,SUPPORT,,,,,,
828,0,500,global,assist_score_emp,CHALLENGE_EMP_SUPPORT,500,,,,,8,,,,,,,,,,,
829,1,1000,global,assist_score_emp,CHALLENGE_EMP_SUPPORT,1000,,,,,8,,,,,,,,,,,
830,2,1500,global,assist_score_emp,CHALLENGE_EMP_SUPPORT,1500,,,,,8,,,,,,,,,,,
831,3,2500,global,assist_score_emp,CHALLENGE_EMP_SUPPORT,2500,,,,,8,EM_BACK_CH_831,,,,SUPPORT,,,,,,
832,0,500,global,assist_score_satellite,CHALLENGE_VSAT_SUPPORT,500,,,,,8,,,,,,,,,,,
833,1,1000,global,assist_score_satellite,CHALLENGE_VSAT_SUPPORT,1000,,,,,8,,,,,,,,,,,
834,2,1500,global,assist_score_satellite,CHALLENGE_VSAT_SUPPORT,1500,,,,,8,,,,,,,,,,,
835,3,2500,global,assist_score_satellite,CHALLENGE_VSAT_SUPPORT,2500,,,,,8,EM_BACK_CH_835,,,,SUPPORT,,,,,,
836,0,5,global,medal_destroyed_rcbomb,CHALLENGE_KILLJOY,1000,,,,,26,EM_CH_836,,,,RETURNFIRE,,,,,,
837,0,5,global,destroy_qrdrone,CHALLENGE_PEST_CONTROL,1000,,,,,26,EM_CH_837,,,,RETURNFIRE,,,,,,
838,0,5,global,medal_destroyed_aitank,CHALLENGE_DRONES_ELIMINATED,1000,,,,,26,EM_CH_838,,,,RETURNFIRE,,,,,,
839,0,5,global,killed_dog,CHALLENGE_DOG_POUND,1000,,,,,26,EM_CH_839,,,,RETURNFIRE,,,,,,
840,0,25,global,defend_hq_last_man_alive,CHALLENGE_GM_FINAL_DEFENSE,1000,,,,,11,EM_CH_840_,,,,,,,,,,
841,0,15,gamemode,CRUSH,CHALLENGE_GM_DM_CRUSH,1000,,,,challenges,11,EM_CH_841_,dm,,,,,,,,,
842,0,15,gamemode,CRUSH,CHALLENGE_GM_TDM_CRUSH,1000,,,,challenges,11,EM_CH_842_,tdm,,,,,,,,,
843,0,10,gamemode,CRUSH,CHALLENGE_GM_SD_CRUSH,1000,,,,challenges,11,EM_CH_843_,sd,,,,,,,,,
844,0,15,gamemode,CRUSH,CHALLENGE_GM_HQ_CRUSH,1000,,,,challenges,11,EM_CH_844_,hq,,,,,,,,,
845,0,15,gamemode,CRUSH,CHALLENGE_GM_DOM_CRUSH,1000,,,,challenges,11,EM_CH_845_,dom,,,,,,,,,
846,0,15,gamemode,SHUT_OUT,CHALLENGE_GM_CTF_SHUT_OUT,1000,,,,challenges,11,EM_CH_846_,ctf,,,,,,,,,
847,0,10,gamemode,SHUT_OUT,CHALLENGE_GM_DEM_SHUT_OUT,1000,,,,challenges,11,EM_CH_847_,dem,,,,,,,,,
848,0,15,gamemode,CRUSH,CHALLENGE_GM_KOTH_CRUSH,1000,,,,challenges,11,EM_CH_848_,koth,,,,,,,,,
849,0,2,gamemode,ANNIHILATION,CHALLENGE_GM_KOTH_ANNIHILATION,1000,,,,challenges,11,EM_CH_849_,koth,,,,,,,,,
850,0,1,gamemode,killstreak_10,CHALLENGE_GM_MERCILESS,1000,,,,challenges,11,EM_CH_850_,tdm,,,,,,,,,
851,0,1,gamemode,killstreak_15,CHALLENGE_GM_RUTHLESS,2500,,,,challenges,11,EM_CH_851_,tdm,,,,,,,,,
852,0,1,gamemode,killstreak_20,CHALLENGE_GM_RELENTLESS,5000,,,,challenges,11,EM_CH_852_,tdm,,,,,,,,,
853,0,1,gamemode,multikill_3,CHALLENGE_GM_TRIPLE_KILL,1000,,,,challenges,11,EM_CH_853_,tdm,,,,,,,,,
854,0,5,gamemode,kill_enemy_who_killed_teammate,CHALLENGE_GM_AVENGER,500,,,,challenges,11,EM_CH_854_,tdm,,,,,,,,,
855,0,5,gamemode,kill_enemy_injuring_teammate,CHALLENGE_GM_SAVIOR,500,,,,challenges,11,EM_CH_855_,tdm,,,,,,,,,
856,0,1,gamemode,killstreak_10,CHALLENGE_GM_HARD_TO_KILL,1000,,,,challenges,11,EM_CH_856_,dm,,,,,,,,,
857,0,1,gamemode,killstreak_15,CHALLENGE_GM_INVINCIBLE,2500,,,,challenges,11,EM_CH_857_,dm,,,,,,,,,
858,0,1,gamemode,killstreak_20,CHALLENGE_GM_UNSTOPPABLE,5000,,,,challenges,11,EM_CH_858_,dm,,,,,,,,,
859,0,1,gamemode,killstreak_30,CHALLENGE_GM_NUKED_OUT,5000,,,,,11,EM_BACK_CH_859_,dm,,,,,,,,,
860,0,5,gamemode,defused_bomb_last_man_alive,CHALLENGE_GM_CLUTCH,500,,,,challenges,11,EM_CH_860_,sd,,,,,,,,,
861,0,5,gamemode,elimination_and_last_player_alive,CHALLENGE_GM_LAST_MAN_STANDING,3000,,,,challenges,11,EM_CH_861_,sd,,,,,,,,,
862,0,1,gamemode,last_man_defeat_3_enemies,CHALLENGE_THE_FINISHER,5000,,,,challenges,11,EM_CH_862_,sd,,,,,,,,,
863,0,10,gamemode,round_win_no_deaths,CHALLENGE_SHUTOUT_ROUND,3000,,,,challenges,11,EM_CH_863_,sd,,,,,,,,,
864,0,15,gamemode,killed_bomb_defuser,CHALLENGE_GM_BOMB_PROTECTOR,3000,,,,challenges,11,EM_CH_864_,sd,,,,,,,,,
865,0,15,gamemode,killed_bomb_planter,CHALLENGE_GM_INTERUPTION,3000,,,,challenges,11,EM_CH_865_,sd,,,,,,,,,
866,0,10,gamemode,kill_flag_carrier,CHALLENGE_GM_ASSASINATION,1000,,,,,11,,ctf,,,,,,,,,
867,1,25,gamemode,kill_flag_carrier,CHALLENGE_GM_ASSASINATION,2500,,,,,11,,ctf,,,,,,,,,
868,2,50,gamemode,kill_flag_carrier,CHALLENGE_GM_ASSASINATION,5000,,,,challenges,11,EM_BACK_CH_868_,ctf,,,,,,,,,
869,0,10,gamemode,defend_flag_carrier,CHALLENGE_GM_ESCORT,1000,,,,,11,,ctf,,,,,,,,,
870,1,25,gamemode,defend_flag_carrier,CHALLENGE_GM_ESCORT,2500,,,,,11,,ctf,,,,,,,,,
871,2,50,gamemode,defend_flag_carrier,CHALLENGE_GM_ESCORT,5000,,,,challenges,11,EM_BACK_CH_871_,ctf,,,,,,,,,
872,0,5,gamemode,killed_bomb_defuser,CHALLENGE_GM_BOMB_PROTECTOR,1000,,,,challenges,11,EM_CH_872_,dem,,,,,,,,,
873,0,5,gamemode,killed_bomb_planter,CHALLENGE_GM_INTERUPTION,1000,,,,challenges,11,EM_CH_873_,dem,,,,,,,,,
874,0,1,gamemode,most_kills_least_deaths,CHALLENGE_GM_SUPER_STAR,2000,,,,challenges,11,EM_CH_874_,tdm,,,,,,,,,
875,0,5,gamemode,kill_2_enemies_capturing_your_objective,CHALLENGE_GM_DOUBLE_DENIED,1000,,,,challenges,11,EM_CH_875_,dom,,,,,,,,,
876,0,5,gamemode,capture_b_first_minute,CHALLENGE_GM_BRAVO_HOT,1000,,,,challenges,11,EM_CH_876_,dom,,,,,,,,,
877,0,1,gamemode,hold_a_entire_match,CHALLENGE_GM_ALPHA_LOCKDOWN,2500,,,,challenges,11,EM_CH_877_,dom,,,,,,,,,
878,0,1,gamemode,hold_b_entire_match,CHALLENGE_GM_BRAVO_LOCKDOWN,5000,,,,challenges,11,EM_CH_878_,dom,,,,,,,,,
879,0,1,gamemode,hold_c_entire_match,CHALLENGE_GM_CHARLIE_LOCKDOWN,2500,,,,challenges,11,EM_CH_879_,dom,,,,,,,,,
880,0,1,gamemode,control_3_points_3_minutes,CHALLENGE_GM_TRIP_CAP,5000,,,,challenges,11,EM_BACK_CH_880_,dom,,,,,,,,,
881,0,1,gamemode,both_bombs_detonate_10_seconds,CHALLENGE_GM_SYNCHRONIZED_ATTACK,1000,,,,challenges,11,EM_CH_881_,dem,,,,,,,,,
882,0,1,gamemode,immediate_capture,CHALLENGE_GM_POINT_MAN,1000,,,,challenges,11,EM_CH_882_,koth,,,,,,,,,
883,0,20,gamemode,contest_then_capture,CHALLENGE_GM_ZONE_SWEEP,2500,,,,challenges,11,EM_CH_883_,koth,,,,,,,,,
884,0,1,global,destroy_score_streak_with_qrdrone,CHALLENGE_OPPORTUNISTIC,1000,,,,,8,EM_CH_884,,,,AIR,,,,,,
885,0,1,global,multikill_3_remote_missile,CHALLENGE_MAXIMUM_PAYLOAD,1000,,,,,8,EM_CH_885,,,,AIR,,,,,,
886,0,1,global,kill_enemy_locking_on_with_chopper_gunner,CHALLENGE_ANTI_SWATTER,1000,,,,,8,EM_CH_886,,,,AIR,,,,,,
887,0,1,global,multikill_2_zone_attackers,CHALLENGE_THREAT_NEUTRALIZED,1000,,,,,8,EM_CH_887,,,,AIR,,,,,,
888,0,1,global,destroy_aircraft_with_missile_drone,CHALLENGE_SPECIAL_DELIVERY,1000,,,,,8,EM_CH_888,,,,AIR,,,,,,
889,0,1,global,muiltikill_2_with_rcbomb,CHALLENGE_RC_MULTI_BOMBER,1000,,,,,8,EM_CH_889,,,,GROUND,,,,,,
890,0,1,global,killstreak_5_with_sentry_gun,CHALLENGE_HEAVY_COVER,1000,,,,,8,EM_CH_890,,,,GROUND,,,,,,
891,0,1,global,multikill_3_with_mgl,CHALLENGE_THUMPER,2500,,,,,8,EM_CH_891,,,,GROUND,,,,,,
892,0,1,global,killstreak_5_with_death_machine,CHALLENGE_SHREDDER,1000,,,,,8,EM_CH_892,,,,GROUND,,,,,,
893,0,25,global,kill_with_remote_control_sentry_gun,CHALLENGE_FOCUS_FIRE,500,,,,,8,EM_CH_893,,,,GROUND,,,,,,
894,0,25,global,kill_with_remote_control_ai_tank,CHALLENGE_TRACKER,2500,,,,,8,EM_CH_894,,,,GROUND,,,,,,
895,0,1,global,killstreak_5_dogs,CHALLENGE_GUIDE_DOGS,2500,,,,,8,EM_CH_895,,,,GROUND,,,,,,
896,0,1,global,destroy_aircraft_with_emp,CHALLENGE_HARD_COUNTER,1000,,,,,8,EM_CH_896,,,,SUPPORT,,,,,,
897,0,1,global,medal_microwave_turret_kill,CHALLENGE_OVERCOOKED,250,,,,,8,EM_CH_897,,,,SUPPORT,,,,,,
898,0,1,global,activate_cuav_while_enemy_satelite_active,CHALLENGE_CANCELLED_OUT,1000,,,,,8,EM_CH_898,,,,SUPPORT,,,,,,
899,0,1,global,call_in_3_care_packages,CHALLENGE_MAKE_IT_RAIN,2000,,,,,8,EM_CH_899,,,,SUPPORT,,,,,,
900,0,1,global,defend_teammate_who_captured_package,CHALLENGE_GOT_YOUR_BACK,2000,,,,,8,EM_CH_900,,,,SUPPORT,,,,,,
901,0,5,global,destroy_turret,CHALLENGE_JUNKYARD,500,,,,,26,,,,,,,,,,,
902,1,15,global,destroy_turret,CHALLENGE_JUNKYARD,1000,,,,,26,,,,,,,,,,,
903,2,25,global,destroy_turret,CHALLENGE_JUNKYARD,2000,,,,,26,,,,,,,,,,,
904,3,50,global,destroy_turret,CHALLENGE_JUNKYARD,5000,,,,,26,EM_BACK_CH_904,,,,RETURNFIRE,,,,,,
905,0,5,global,destroy_aircraft,CHALLENGE_ANTI_AIR_SPECIALIST,500,,,,,26,,,,,,,,,,,
906,1,15,global,destroy_aircraft,CHALLENGE_ANTI_AIR_SPECIALIST,1000,,,,,26,,,,,,,,,,,
907,2,30,global,destroy_aircraft,CHALLENGE_ANTI_AIR_SPECIALIST,2000,,,,,26,,,,,,,,,,,
908,3,75,global,destroy_aircraft,CHALLENGE_ANTI_AIR_SPECIALIST,5000,,,,,26,EM_BACK_CH_908,,,,RETURNFIRE,,,,,,
909,0,1,global,killed_dog_close_to_teammate,CHALLENGE_DOWN_DOG,500,,,,,26,EM_CH_909,,,,RETURNFIRE,,,,,,
910,0,1,global,destroyed_qrdrone_with_bullet,CHALLENGE_SMALL_GAME_HUNTER,2000,,,,,26,EM_CH_910,,,,RETURNFIRE,,,,,,
911,0,1,global,destroyed_helicopter_with_bullet,CHALLENGE_BIG_GAME_HUNTER,2000,,,,,26,EM_CH_911,,,,RETURNFIRE,,,,,,
912,0,1,global,medal_capture_enemy_crate,CHALLENGE_THIEF,1000,,,,,26,EM_CH_912,,,,RETURNFIRE,,,,,,
913,0,1,weapon_smg,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
914,0,1,weapon_assault,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
915,0,1,weapon_cqb,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
916,0,1,weapon_lmg,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
917,0,1,weapon_sniper,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
918,0,1,weapon_pistol,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
919,0,1,weapon_shotgun,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
920,0,1,weapon_special,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
921,0,1,weapon_launcher,default,CHALLENGE_MASTERY_QUALIFIED,0,,,,,3,em_default_,,,,,,,1,,,
922,0,15,weapon_smg,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
923,0,15,weapon_assault,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
924,0,15,weapon_cqb,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
925,0,15,weapon_lmg,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
926,0,15,weapon_sniper,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
927,0,15,weapon_pistol,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
928,0,15,weapon_shotgun,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
929,0,15,weapon_special,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
930,0,15,weapon_launcher,mastery,CHALLENGE_MASTERY_WEAPON_MASTERY,10000,,,,challenges,3,em_back_mastery_,,,,,,1,,,,
931,0,1,weapon_smg,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
932,0,1,weapon_assault,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
933,0,1,weapon_cqb,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
934,0,1,weapon_lmg,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
935,0,1,weapon_sniper,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
936,0,1,weapon_pistol,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
937,0,1,weapon_shotgun,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
938,0,1,weapon_special,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
939,0,1,weapon_launcher,maxlevel,CHALLENGE_MASTERY_MARKSMAN,5000,,,,,3,em_back_maxlevel_,,,,,1,,,,,
940,0,11,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_940_,tdm,,,,,,,,,
941,0,8,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_941_,dm,,,,,,,,,
942,0,13,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_942_,dom,,,,,,,,,
943,0,12,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_943_,sd,,,,,,,,,
944,0,11,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_944_,dem,,,,,,,,,
945,0,10,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_945_,ctf,,,,,,,,,
946,0,7,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_946_,hq,,,,,,,,,
947,0,6,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_947_,koth,,,,,,,,,
948,0,3,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_948_,conf,,,,,,,,,
949,0,2,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_949_,shrp,,,,,,,,,
950,0,2,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_950_,sas,,,,,,,,,
951,0,2,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_951_,oic,,,,,,,,,
952,0,2,gamemode,challenges,CHALLENGE_MASTERY_GAMEMODE,10000,,,,,11,EM_BACK_CH_952_,gun,,,,,,,,,
953,0,1,global,lifetime_STATRESETCOUNT,CHALLENGE_FRESH_START,0,,,,,0,EM_BACK_FRESH_START,,,,,,,,,,
